Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,174061995,2229.7600308120764,2748322,35.206413366694484,380482,3758560,48.147712321745125,70644,0.9049601414524077,14034,
United States of America,Americas,33072912,9991.74,109594,33.11,16551,592932,179.13,3377,1.02,322,Community transmission
India,South-East Asia,29183121,2114.71,741135,53.71,94052,359676,26.06,21687,1.57,6148,Clusters of cases
Brazil,Americas,17037129,8015.23,412649,194.13,52911,476792,224.31,11593,5.45,2378,Community transmission
France,Europe,5621275,8642.88,37043,56.95,5358,109336,168.11,411,0.63,93,Community transmission
Turkey,Europe,5306690,6292.09,42993,50.98,6454,48428,57.42,660,0.78,87,Community transmission
Russian Federation,Europe,5167949,3541.28,68767,47.12,11699,125278,85.85,2618,1.79,383,Clusters of cases
The United Kingdom,Europe,4535758,6681.43,41055,60.48,7312,127860,188.35,66,0.1,6,Community transmission
Italy,Europe,4237790,7105.44,14590,24.46,2198,126767,212.55,484,0.81,77,Clusters of cases
Argentina,Americas,4008771,8869.79,191632,424,31137,82667,182.91,3934,8.7,721,Community transmission
Spain,Europe,3715454,7849.67,23584,49.83,2162,80332,169.72,110,0.23,3,Community transmission
Germany,Europe,3709129,4459.87,16661,20.03,3187,89585,107.72,645,0.78,94,Community transmission
Colombia,Americas,3611602,7097.87,179180,352.14,18586,92923,182.62,3626,7.13,427,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2990714,3560.67,55271,65.8,10598,81519,97.05,1031,1.23,157,Community transmission
Poland,Europe,2876667,7578.53,2575,6.78,378,74447,196.13,372,0.98,84,Community transmission
Mexico,Americas,2438011,1890.92,17352,13.46,3449,229100,177.69,1260,0.98,262,Community transmission
Ukraine,Europe,2219824,5075.77,10407,23.8,1785,51507,117.77,548,1.25,97,Community transmission
Peru,Americas,1987933,6029.18,26846,81.42,2934,187157,567.63,2650,8.04,400,Community transmission
Indonesia,South-East Asia,1877050,686.25,45277,16.55,7725,52162,19.07,1254,0.46,170,Community transmission
South Africa,Africa,1712939,2888.18,37926,63.95,8881,57310,96.63,599,1.01,127,Community transmission
Netherlands,Europe,1667560,9579.5,13600,78.13,1791,17700,101.68,56,0.32,5,Community transmission
Czechia,Europe,1664649,15566.28,2041,19.09,267,30211,282.51,75,0.7,9,Community transmission
Chile,Americas,1445770,7563.06,50797,265.73,5353,30141,157.67,756,3.95,37,Community transmission
Canada,Americas,1395410,3697.22,12196,32.31,1265,25791,68.33,225,0.6,30,Community transmission
Philippines,Western Pacific,1286217,1173.76,45535,41.55,5462,22190,20.25,1032,0.94,126,Community transmission
Iraq,Eastern Mediterranean,1237856,3077.52,27751,68.99,4616,16614,41.31,178,0.44,25,Community transmission
Sweden,Europe,1081898,10475.8,6084,58.91,1175,14562,141,12,0.12,0,Community transmission
Romania,Europe,1079294,5583.85,1152,5.96,140,31383,162.36,968,5.01,228,Community transmission
Belgium,Europe,1073358,9315.37,5679,49.29,3,25061,217.5,63,0.55,1,Community transmission
Pakistan,Eastern Mediterranean,936131,423.8,11464,5.19,1118,21453,9.71,523,0.24,77,Community transmission
Portugal,Europe,854522,8299.63,4260,41.38,890,17037,165.47,11,0.11,0,Clusters of cases
Israel,Europe,839624,9700.42,109,1.26,39,6428,74.26,15,0.17,10,Community transmission
Bangladesh,South-East Asia,817819,496.58,13526,8.21,2537,12949,7.86,255,0.15,36,Community transmission
Hungary,Europe,806385,8254.09,1083,11.09,0,29805,305.08,97,0.99,0,Community transmission
Japan,Western Pacific,767808,607.08,15617,12.35,2189,13841,10.94,596,0.47,98,Clusters of cases
Jordan,Eastern Mediterranean,741699,7269.33,3811,37.35,598,9561,93.71,72,0.71,12,Community transmission
Serbia,Europe,714252,10311.57,1263,18.23,198,6938,100.16,57,0.82,8,Community transmission
Switzerland,Europe,696225,8044.55,2329,26.91,1,10238,118.3,20,0.23,0,Community transmission
Austria,Europe,643651,7231.17,2135,23.99,328,10388,116.71,27,0.3,0,Community transmission
